asin,SUM of quantity,Rank ,Current Inventory 
B077NTWLJT,9,"237,193",0
B077NTWMMP,10,"279,650",0
B077NW1WVP,19,"279,650",0
B077NW8NCJ,20,"279,650",1
B077NY43VV,19,"279,650",0
B077NYH39X,8,"279,650",0
B077NZ92CR,18,"279,650",0
B077NZMB6L,4,"279,650",10
B077P82S3N,1,"1,863,120",0
B07DQJJQ8Z,7,"1,132,423",0
B07DQKW7YD,1,"1,093,598",0
B07DZR7G84,21,"18,099",0
B07DZRH87S,66,"18,099",91
B07DZS75CT,31,"18,099",90
B07DZSCJJ7,93,"18,099",1
B07DZSG1KV,15,"18,099",0
B07DZSHP6S,46,"18,099",113
B07DZSW16M,9,"18,099",40
B07DZTG7RD,49,"18,099",0
B07DZTRS5W,29,"18,099",73
B07DZW8Y4S,69,"18,099",29
B07DZWD5DM,35,"18,099",80
B07F11PDXJ,56,"18,099",0
B07F11QK3H,112,"18,099",45
B07F11QK3K,71,"18,099",1
B07F11TXQH,86,"17,808",2
B07F11V589,30,"18,099",0
B07F1315W3,156,"18,099",0
B07FGVYMTS,32,"18,099",43
B07GL16LD3,1,"496,517",4
B07GL1MNPB,1,"496,517",0
B07GL2BX8D,3,"496,517",2
B07GL3CKW6,2,"496,517",3
B07GL3RZZK,1,"385,285",0
B07GL4HTMD,3,"496,517",2
B07GL4VDD4,5,"496,517",0
B07GL7SBH7,5,"1,127,145",9
B07GLG5CJH,1,"385,285",0
B07GLJ4MXX,2,"1,127,145",9
B07GLN329W,2,"496,517",0
B07GMHQP8S,3,"1,372,355",4
B07H3B4DGM,46,"12,159",358
B07H3D4JSF,67,"12,159",2
B07H3DM779,43,"12,159",173
B07HGFC196,3,"1,536,950",0
B07HJ1N2ZM,11,"618,352",51
B07HJ1VGTS,9,"618,352",20
B07HJ21SN5,31,"618,352",51
B07HJ28RXK,49,"438,838",343
B07HJ2S3G1,8,"521,300",0
B07HN8X9F6,528,"12,159",1578
B07HNCFN7M,191,"12,159",51
B07HNKC98L,85,"12,159",322
B07HNKPX65,39,"12,159",287
B07HNKZRKP,63,"12,159",243
B07HNM1MCQ,14,"12,159",48
B07HNS44RY,83,"12,159",315
B07HNSLKJQ,96,"12,159",788
B07HNVPR6C,272,"12,159",3406
B07HPC8M9D,1,"1,372,355",5
B07J2NLBM5,1,"2,828,967",0
B07J2QYFLP,0,"2,823,672",0
B07JBNYK47,11,"169,557",2
B07JBP6X49,18,"169,557",0
B07JBRGBW3,38,"81,468",0
B07JBRGDR7,22,"81,468",0
B07JCFNY37,30,"169,557",15
B07JCFP18S,25,"169,557",222
B07JCFP4KC,35,"169,557",410
B07JCJ3T75,48,"81,468",81
B07JCPCZD6,11,"169,557",191
B07JCRSW1B,5,"81,468",0
B07JCS146H,39,"81,468",10
B07JD2NG2B,46,"169,557",128
B07JD4YQGK,30,"81,468",0
B07JD53VP8,45,"81,468",0
B07JD53W1B,7,"73,918",0
B07JDD8GSH,12,"169,557",0
B07JDDGHCM,15,"169,557",44
B07JDG67LJ,11,"81,468",19
B07JDG68GN,21,"81,468",0
B07JDKNSYM,39,"81,468",30
B07JDKP4S4,35,"81,468",0
B07JDKPBYJ,30,"81,468",41
B07JDKWGXK,43,"81,468",0
B07JVQ2H43,16,"169,557",181
B07JVRL1NB,14,"169,557",150
B07JVSXYBH,8,"81,468",0
B07JVTJRL1,33,"169,557",148
B07JVTLGF9,26,"81,468",0
B07JVW3TQ5,21,"81,468",16
B07JVWJ53C,19,"81,468",29
B07K8T8PNM,32,"18,099",84
B07KKMYMGR,3,"169,557",57
B07KKNNMXY,3,"169,557",163
B07L6387R9,4,"618,352",2
B07L63BPPP,2,"438,838",0
B07L63HDMY,1,"618,352",8
B07L63KJ92,5,"438,838",0
B07L646SSQ,3,"618,352",0
B07L81RMBT,14,"1,097,275",79
B07L8233QY,2,"1,064,432",0
B07M6LW93W,118,"17,808",90
B07M6LX3H4,36,"18,099",67
B07M6LX7J5,75,"18,099",35
B07M6LXS1S,20,"18,099",90
B07M6LXZZZ,57,"18,099",101
B07M6LZT2J,4,"496,517",1
B07M6M1SJT,9,"496,517",1
B07M6MP9ZZ,4,"496,517",7
B07M6NNFMJ,4,"496,517",4
B07M9SHK2W,2,"898,397",14
B07MBBXBM4,19,"18,099",1
B07MBBY78F,63,"18,099",0
B07MBBY8DH,34,"18,099",0
B07MBC3JCY,8,"496,517",2
B07MBC3VH3,3,"496,517",0
B07MBCBX3P,2,"496,517",1
B07MDDDPSW,1,"1,941,982",0
B07MDDK4MB,1,"1,431,992",0
B07MDDLRXP,3,"1,322,609",0
B07MDXYSVN,95,"18,099",205
B07MDY37FL,2,"496,517",0
B07MGZ42R3,1,"1,979,643",0
B07MGZ8SK7,1,"1,431,992",0
B07MHJR4KX,22,"17,808",136
B07MHJRZPF,24,"18,099",145
B07MHJTG25,5,"496,517",0
B07MHJX751,1,"496,517",0
B07MKLF7D8,1,"898,397",7
B07ML4TFRS,20,"18,099",34
B07ML4Y1S1,5,"496,517",0
B07MNTGTFQ,1,"898,397",0
B07MNTJGBZ,7,"898,397",0
B07MNTMW5C,3,"898,397",0
B07MPD7TJV,4,"496,517",0
B07MPD89SB,1,"496,517",0
B07MR1T257,2,"898,397",6
B07MRL6JVK,76,"17,808",1
B07MRLWWTR,107,"18,099",251
B07NLJ3NJS,2,"1,207,799",1
B07NLJZJPC,2,"1,207,799",28
B07NLK1N4F,3,"1,207,799",1
B07NMCQPZT,2,"1,191,397",14
B07PVKRVF6,1,"279,650",4
B07PVKS34P,2,"279,650",0
B07PVKSVW1,2,"279,650",0
B07PWGRF8Q,3,"256,749",0
B07PWHFVPD,19,"279,650",13
B07PXKW1FS,18,"279,650",0
B07PXLL4SJ,7,"279,650",0
B07WYVWJSX,46,"18,099",0
B07WZGNJT7,1,"1,205,786",0
B07WZQ7Y8G,13,"12,159",125
B07X1V173Y,57,"12,159",711
B07X1V1MDS,164,"12,159",421
B07X2BMVHB,26,"18,099",0
B07X3Y7N3V,38,"12,159",342
B07X4YSVY6,139,"12,159",1341
B07X522DCD,43,"12,159",385
B07ZH8XXSY,1,"1,372,355",8
B081QPG8CG,2,"1,573,262",2
B081QPLY44,3,"1,530,022",0
B081QQBVPX,1,"1,926,666",8
B083HRCGWM,2,"997,442",2
B083HRXX8L,6,"997,442",0
B083HS7BWZ,3,"997,442",48
B083HS7NT1,7,"997,442",53
B083HS8BPJ,53,"997,442",57
B083HS8CWH,3,"997,442",56
B083HS8RJ3,2,"683,744",79
B083HSDK91,1,"997,442",3
B083HSDZ32,1,"997,442",3
B083HSH7LT,1,"683,744",76
B085NQLY4K,81,"12,159",2
B085NQQWHM,58,"12,159",480
B085NQR1Z8,8,"11,454",1
B088VPF2HF,25,"349,858",50
B088VT9SKN,8,"349,858",68
B088VVY4VR,7,"349,858",22
B088VWRGV9,6,"349,858",19
B088W1PV3D,5,"349,858",41
B088W48ZTW,5,"349,858",28
B088W712NB,4,"349,858",27
B088W714PH,7,"349,858",38
B088W71MB5,10,"349,858",17
B088W74144,7,"349,858",5
B088W8MGPL,2,"349,858",0
B088W9RRW5,10,"349,858",94
B088XPHMGZ,1,"529,070",79
B088XQJ1K3,12,"529,070",121
B088XRDHB9,10,"529,070",61
B088XS7HSZ,2,"529,070",62
B088XTS8JV,5,"529,070",66
B088XVMDZH,1,"529,070",67
B088XWYXRN,4,"529,070",55
B088Y38FMG,9,"529,070",262
B088Y3VFPX,13,"529,070",189
B088Y9W7BQ,4,"529,070",138
B089WFQ1GP,4,"262,483",47
B089WG4YM3,39,"262,483",482
B089WG86VP,27,"262,483",334
B089WGGZY8,4,"262,483",1
B089WGJL4N,32,"262,483",104
B089WGKNKH,42,"262,483",300
B089WGS3XT,2,"262,483",0
B089WGXNYQ,18,"262,483",0
B089WH3Z9J,9,"262,483",0
B089WH9VZH,3,"262,483",6
B089WHLCXT,3,"262,483",1
B089WHYNCF,13,"262,483",101
B08BPJGDTK,4,"172,530",0
B08BPJGJL8,10,"172,530",2
B08BPJR1WM,12,"172,530",0
B08BPK2FNH,5,"172,530",6
B08BPK3D14,25,"172,530",138
B08BPK52H3,60,"172,530",74
B08BPKC1N1,11,"172,530",85
B08BPKL5XX,29,"172,530",18
B08BPKLMQ7,30,"172,530",76
B08BPKM5F6,16,"172,530",146
B08BPKNHKV,27,"172,530",438
B08BPLNNRY,58,"172,530",281
B08J5SF4HJ,2,"2,283,445",0
B08J5SLSZ7,1,"2,330,638",0
B08J8BNN3P,2,"1,147,028",41
B08J8C8MPP,3,"1,147,028",22
B08J8CV7Z4,2,"1,147,028",3
B08J8FZMQP,1,"1,756,460",13
B08J8G1L11,2,"1,693,762",3
B08J8GMYJP,1,"1,768,551",12
B08J9FF2MB,6,"1,391,663",
B08J9FG5V9,3,"1,396,766",1
B08JH8J3MT,42,"62,334",0
B08JHBDSM4,228,"62,334",603
B08JHBZ3QK,50,"62,334",631
B08JHC13XM,1,"226,362",0
B08JHC2TG1,51,"62,334",55
B08JHCFB2C,14,"354,590",48
B08JHCNT7H,2,"354,590",84
B08JHCSHMK,20,"354,590",66
B08JHCWHMY,66,"62,334",650
B08JHD1RX9,54,"62,334",149
B08JHD45M8,9,"354,590",71
B08JHFNJX7,5,"354,590",116
B08L9LSM46,5,"262,483",393
B08L9MYD3M,60,"12,159",157
B08L9N9L9T,59,"12,159",414
B08L9NBBP5,9,"262,483",283
B08L9NR4HP,3,"262,483",68
B08L9PLWH4,24,"12,159",83
B0947GFVHN,52,"62,334",116
B0947GR61T,50,"62,334",165
B0947GS2N8,30,"62,334",479
B0947HKY1W,28,"62,334",182
B0947HXHFH,25,"62,334",484
B094867FBX,28,"62,334",113
B09486F1RR,19,"62,334",140
B0948B189Z,24,"62,334",321
B0948D1793,40,"62,334",50
B0948G2LZL,27,"62,334",12
B0948GJ3D6,38,"62,334",295
B0948JKPSY,17,"62,334",246
B094PJY6YL,26,"496,406",0
B094RCYHXC,4,"260,662",16
B094RDWTHM,2,"260,662",19
B094RDZK5X,7,"260,662",0
B094RFWNPY,18,"260,662",1
B097CHNFT5,5,"260,662",0
B097CHSYSG,2,"260,662",0
B097CJDDKT,7,"260,662",0
B09881MG2B,12,"260,662",10
B098BJSRW1,68,"496,406",0
B098G2SBBZ,21,"438,838",21
B098GC9196,16,"438,838",134
B098GDH431,8,"349,858",31
B098GJ5GD9,26,"349,858",40
B098GLDGGG,27,"438,838",92
B098H228HB,24,"349,858",8
B09CDYJNPD,30,"354,590",358
B09CDZ191K,9,"354,590",408
B09CDZ3VWG,7,"354,590",256
B09CDZ7NX9,15,"354,590",286
B09CDZ86KK,2,"354,590",164
B09CDZQ373,3,"354,590",164
B09CDZQT62,8,"354,590",155
B09CDZXWJG,2,"354,590",296
B09CDZYJLV,8,"354,590",307
B09CF1BKRH,1,"354,590",169
B09CF1CLMT,6,"354,590",260
B09CF1YFHH,13,"354,590",253
B09DGVL3K4,2,"1,446,869",4
B09DH4TJWF,2,"588,249",0
B09DH6N4HC,10,"802,908",0
B09DH98NKH,5,"802,908",12
B09DHCRX2R,1,"1,446,869",29
B09DHGHJBW,16,"802,908",2
B09DHLSKM1,2,"802,908",34
B09DLCYZSC,5,"413,322",130
B09DLD9BRK,6,"379,360",0
B09DLDC5MS,23,"413,322",50
B09DLDJVJB,24,"413,322",51
B09DLDLGYW,22,"413,322",87
B09DLDSBZ5,10,"413,322",65
B09DLG1P58,2,"413,322",7
B09DLGCTR1,7,"413,322",98
B09DLGH7SK,3,"413,322",23
B09GTT9YBG,2,"1,446,869",19
B09J1L5SZ9,2,"1,707,012",0
B09TQFLZ3S,13,"12,159",482
B09TQFWBK3,3,"12,159",397
B09TQL9VWX,5,"12,159",205
Grand Total,7560,,